source_apartment_id,recommended_apartment_id,rank,similarity_score
1,597,1,0.3208464315824477
1,9,2,0.09103968387912949
2,632,1,0.9404328740693468
2,690,2,0.9391577166320235
2,414,3,0.9385919554976201
2,652,4,0.9264555803554834
2,477,5,0.9203637210173384
3,408,1,0.9067664261209956
3,407,2,0.9025300520593627
3,550,3,0.8848110860577129
3,383,4,0.7957338636413789
3,378,5,0.7272869672447297
4,620,1,0.8038056538408827
4,518,2,0.5780090373249736
5,445,1,0.9101460689297007
5,480,2,0.9098637445440393
5,409,3,0.8969091940323094
5,479,4,0.8936585607905337
5,619,5,0.862212587311688
6,588,1,0.8275009843440227
6,689,2,0.7070815219823249
6,686,3,0.6923273241607824
6,481,4,0.6361280018287738
6,653,5,0.6344319361245814
7,595,1,0.9005123849101936
7,594,2,0.8472383079579727
8,694,1,0.7375730151842635
8,687,2,0.7061568159867443
8,693,3,0.6326595899811556
8,485,4,0.6293264729040033
8,622,5,0.6011534956881807
9,597,1,0.7086002369809219
9,1,2,0.09103968387912949
10,622,1,0.8131542621606793
10,485,2,0.7036590621981816
10,693,3,0.48482015390290384
10,8,4,0.4281698147311704
10,687,5,0.3672508847156679
11,492,1,0.8451822844233806
11,685,2,0.8188566660942534
11,443,3,0.7857340437691304
11,444,4,0.7857340437691304
11,12,5,0.7747510281096913
12,630,1,0.8850003930455815
12,492,2,0.8512458983500941
12,443,3,0.8383865604783
12,444,4,0.8383865604783
12,662,5,0.8315101195731139
13,17,1,0.8708979816049213
13,454,2,0.842804902455582
13,455,3,0.8427354844603996
13,553,4,0.840091703030564
13,662,5,0.8348926171551427
14,478,1,0.9459160833033995
14,441,2,0.9297619818219164
14,414,3,0.9052545001156244
14,523,4,0.8687260392666647
14,489,5,0.867961290688954
15,688,1,0.9457205895095803
15,516,2,0.9428399987835887
15,439,3,0.886569530120682
15,649,4,0.849234229108811
15,525,5,0.767129873308183
16,684,1,0.798063460969215
16,455,2,0.6747223744171913
16,378,3,0.36258162131268934
16,407,4,0.2690254670267769
16,3,5,0.25463353212564066
17,651,1,0.895144757424551
17,658,2,0.8710081129029089
17,382,3,0.4836807455116514
18,19,1,0.9739450956753234
18,513,2,0.9465344329936694
18,381,3,0.7641191532198981
18,524,4,0.7246688828353579
18,628,5,0.5246425384350676
19,18,1,0.9739450956753234
19,513,2,0.9258210054140278
19,381,3,0.7360370277328714
19,524,4,0.6916274512552412
19,628,5,0.4917255631119127
20,454,1,0.7454442571154103
20,551,2,0.6607108708858644
20,512,3,0.6100452001731467
20,548,4,0.5969830581595643
20,650,5,0.4034505320451402
21,417,1,0.934932540588932
21,515,2,0.8909938669522901
21,517,3,0.8865632580097174
21,631,4,0.8840284625401027
21,590,5,0.8692589045593246
22,657,1,0.7614442873765503
23,24,1,0.9554043266485227
23,371,2,0.9554043266485227
23,377,3,0.906933632259223
23,549,4,0.9031949341608869
23,406,5,0.8810827756703394
24,371,1,0.9554712614371034
24,23,2,0.9554043266485227
24,549,3,0.9029731714572997
24,406,4,0.8811050590259548
24,523,5,0.8610778387366136
25,352,1,0.9523501083627985
25,346,2,0.9519570061306275
25,353,3,0.9297345594158818
25,350,4,0.9264501305002302
25,457,5,0.8670488608730509
26,368,1,0.9335338185109635
26,166,2,0.9082626593796587
26,367,3,0.8994319595863076
26,670,4,0.8690021885536854
26,509,5,0.8675211938514563
27,67,1,0.8345427887513815
27,88,2,0.765568990288937
27,681,3,0.7559374675625686
27,264,4,0.7363651225752978
27,291,5,0.6538082100544684
28,207,1,0.8021002249547337
28,171,2,0.7889295153801678
28,333,3,0.7590643159582336
28,332,4,0.7552751137024721
28,474,5,0.7493164467221137
29,332,1,0.841429069345258
29,333,2,0.8287938998986626
29,355,3,0.823578625232804
29,565,4,0.8087291839040269
29,28,5,0.7270973777460027
30,291,1,0.8832434622077657
30,80,2,0.8162801355066931
30,325,3,0.7539349435340704
30,79,4,0.7411877972718945
30,88,5,0.7373704644729051
31,208,1,0.8083186905769186
31,320,2,0.7952584985338107
31,321,3,0.7875010862438422
31,319,4,0.7856807347038655
31,318,5,0.7681270924648217
32,302,1,0.8987696135509932
32,669,2,0.8386837994966221
32,33,3,0.831356775741238
32,38,4,0.8269844495754355
32,438,5,0.7934111879284445
